ORIG_CD;DEST_CD;MILES;O&D
MDE;SAL;1055;MDE-SAL
ARH;LED;466;ARH-LED
MCG;UNK;174;MCG-UNK
YPX;YPH;113;YPX-YPH
TYN;DLC;491;TYN-DLC
GIG;MOC;423;GIG-MOC
KNS;BWT;124;KNS-BWT
ATM;BPG;871;ATM-BPG
PMW;CLV;514;PMW-CLV
DOH;BUD;2332;DOH-BUD
BKK;CPH;5358;BKK-CPH
EWR;MIA;1086;EWR-MIA
BHU;BOM;189;BHU-BOM
MUC;GOT;642;MUC-GOT
CAN;PEK;1185;CAN-PEK
CIX;SJU;1974;CIX-SJU
HAM;BER;162;HAM-BER
SRZ;SRE;162;SRZ-SRE
PMO;LGW;1113;PMO-LGW
AGP;RTM;1142;AGP-RTM
HGH;HKG;660;HGH-HKG
PVR;DEN;1321;PVR-DEN
YKS;OVB;1707;YKS-OVB
SKG;AOK;419;SKG-AOK
ATM;EZE;2218;ATM-EZE
PFB;GYN;827;PFB-GYN
DAV;CTG;493;DAV-CTG
XUZ;XMN;674;XUZ-XMN
YOW;YYC;1788;YOW-YYC
PNS;ASU;4306;PNS-ASU
LAP;PTY;2291;LAP-PTY
AGU;MEX;262;AGU-MEX
CZL;ORN;407;CZL-ORN
SYD;TWB;443;SYD-TWB
PAP;POS;916;PAP-POS
VNO;VAR;796;VNO-VAR
SMI;LNZ;970;SMI-LNZ
BSL;HRG;1994;BSL-HRG
IMP;SMT;737;IMP-SMT
RVD;CLV;155;RVD-CLV
SAL;MDE;1055;SAL-MDE
LED;ARH;466;LED-ARH
UNK;MCG;0;UNK-MCG
EZE;FCO;6929;EZE-FCO
LTN;MPL;607;LTN-MPL
MOC;GIG;423;MOC-GIG
DTW;PLN;242;DTW-PLN
BPG;ATM;871;BPG-ATM
HAC;OIM;118;HAC-OIM
HAU;LPA;2380;HAU-LPA
CPH;BKK;5358;CPH-BKK
MIA;EWR;1086;MIA-EWR
BOM;BHU;189;BOM-BHU
CGO;NNY;127;CGO-NNY
PEK;CAN;1185;PEK-CAN
SJU;CIX;1974;SJU-CIX
DME;LCA;1433;DME-LCA
JTC;SJK;217;JTC-SJK
LHR;YEG;4230;LHR-YEG
RTM;AGP;1142;RTM-AGP
HKG;HGH;660;HKG-HGH
DOU;SLZ;1533;DOU-SLZ
PTY;PUJ;987;PTY-PUJ
NAT;ROS;2468;NAT-ROS
EZE;ATM;2218;EZE-ATM
SVP;VPE;330;SVP-VPE
TJL;URG;708;TJL-URG
CLV;NVT;632;CLV-NVT
YYC;YOW;1788;YYC-YOW
MOC;PHB;965;MOC-PHB
PTY;LAP;2291;PTY-LAP
MEX;AGU;262;MEX-AGU
ORN;CZL;407;ORN-CZL
TWB;SYD;443;TWB-SYD
POS;PAP;916;POS-PAP
SHA;TYN;682;SHA-TYN
ICN;JFK;6882;ICN-JFK
HRG;BSL;1994;HRG-BSL
SMT;IMP;737;SMT-IMP
KDH;OAZ;99;KDH-OAZ
BYO;COR;851;BYO-COR
OAK;YHM;2230;OAK-YHM
BAH;ISB;1433;BAH-ISB
FCO;EZE;6929;FCO-EZE
MPL;LTN;607;MPL-LTN
ASE;LAX;737;ASE-LAX
PLN;DTW;242;PLN-DTW
BKI;LBU;70;BKI-LBU
OIM;HAC;118;OIM-HAC
LPA;HAU;2380;LPA-HAU
PEW;RKT;1096;PEW-RKT
DEN;MTY;1008;DEN-MTY
AMQ;MKW;519;AMQ-MKW
NNY;CGO;127;NNY-CGO
KTN;MTM;16;KTN-MTM
BPS;POA;1209;BPS-POA
LCA;DME;1433;LCA-DME
SJK;JTC;217;SJK-JTC
YEG;LHR;4230;YEG-LHR
CKG;TSN;906;CKG-TSN
GDX;VVO;1403;GDX-VVO
SLZ;DOU;1533;SLZ-DOU
PUJ;PTY;987;PUJ-PTY
ROS;NAT;2468;ROS-NAT
CWB;GPB;147;CWB-GPB
VPE;SVP;330;VPE-SVP
URG;TJL;708;URG-TJL
NVT;CLV;632;NVT-CLV
BUZ;DXB;377;BUZ-DXB
PHB;MOC;965;PHB-MOC
BRO;DFW;484;BRO-DFW
NOU;PPT;2877;NOU-PPT
LAX;PVR;1217;LAX-PVR
YEK;YXN;89;YEK-YXN
HNL;SNA;2584;HNL-SNA
TYN;SHA;682;TYN-SHA
JFK;ICN;6882;JFK-ICN
IND;UIO;2787;IND-UIO
ASM;MSW;40;ASM-MSW
OAZ;KDH;99;OAZ-KDH
COR;BYO;851;COR-BYO
YHM;OAK;2230;YHM-OAK
ISB;BAH;1433;ISB-BAH
PEK;WXN;781;PEK-WXN
ARU;JPR;1038;ARU-JPR
LAX;ASE;737;LAX-ASE
DOU;VVI;622;DOU-VVI
LBU;BKI;70;LBU-BKI
BCN;VLC;184;BCN-VLC
ZQW;CGN;115;ZQW-CGN
RKT;PEW;1096;RKT-PEW
MTY;DEN;1008;MTY-DEN
MKW;AMQ;519;MKW-AMQ
POP;YUL;1782;POP-YUL
MTM;KTN;16;MTM-KTN
POA;BPS;1209;POA-BPS
FLN;KIN;3663;FLN-KIN
CLY;NTE;601;CLY-NTE
CAN;RMQ;467;CAN-RMQ
TSN;CKG;906;TSN-CKG
VVO;GDX;1403;VVO-GDX
HTN;PEK;2141;HTN-PEK
GPS;PTY;996;GPS-PTY
NAS;PHL;1032;NAS-PHL
GPB;CWB;147;GPB-CWB
OSL;SSJ;399;OSL-SSJ
IEV;MPW;394;IEV-MPW
CLT;EYW;736;CLT-EYW
DXB;BUZ;377;DXB-BUZ
EWR;PHL;81;EWR-PHL
DFW;BRO;484;DFW-BRO
PPT;NOU;2877;PPT-NOU
PVR;LAX;1217;PVR-LAX
YXN;YEK;89;YXN-YEK
SNA;HNL;2584;SNA-HNL
ALG;INZ;654;ALG-INZ
CAU;ORY;4573;CAU-ORY
UIO;IND;2787;UIO-IND
MSW;ASM;40;MSW-ASM
AMM;BER;1830;AMM-BER
PMI;XCR;641;PMI-XCR
MRV;SKG;1058;MRV-SKG
CAG;LUX;730;CAG-LUX
WXN;PEK;781;WXN-PEK
JPR;ARU;1038;JPR-ARU
MGF;SDU;563;MGF-SDU
VVI;DOU;622;VVI-DOU
DXB;HRE;3397;DXB-HRE
VLC;BCN;184;VLC-BCN
NGO;NGS;417;NGO-NGS
SLC;TUL;924;SLC-TUL
BZE;TPA;807;BZE-TPA
GVR;SSA;480;GVR-SSA
YUL;POP;1782;YUL-POP
FUK;PEK;895;FUK-PEK
POM;TFI;145;POM-TFI
SIN;PBH;2035;SIN-PBH
NTE;CLY;601;NTE-CLY
RMQ;CAN;467;RMQ-CAN
BNA;YYZ;641;BNA-YYZ
IFP;LAW;917;IFP-LAW
PEK;HTN;2141;PEK-HTN
BLR;MLE;681;BLR-MLE
PHL;NAS;1032;PHL-NAS
LAJ;TXF;979;LAJ-TXF
SSJ;OSL;399;SSJ-OSL
MPW;IEV;394;MPW-IEV
EYW;CLT;736;EYW-CLT
AUA;SAL;1285;AUA-SAL
PHL;EWR;81;PHL-EWR
HRB;INC;1136;HRB-INC
BHX;DUB;199;BHX-DUB
HET;ULN;612;HET-ULN
DXB;KBP;2160;DXB-KBP
BLI;LAS;954;BLI-LAS
INZ;ALG;654;INZ-ALG
ORY;CAU;4573;ORY-CAU
AXU;GDQ;144;AXU-GDQ
SAT;STL;786;SAT-STL
BER;AMM;1830;BER-AMM
XCR;PMI;641;XCR-PMI
SVS;WBQ;53;SVS-WBQ
LUX;CAG;730;LUX-CAG
REC;OGG;8455;REC-OGG
OKA;PUS;630;OKA-PUS
SDU;MGF;563;SDU-MGF
PTO;TFF;1769;PTO-TFF
HRE;DXB;3397;HRE-DXB
BAH;MNL;4577;BAH-MNL
NGS;NGO;417;NGS-NGO
TUL;SLC;924;TUL-SLC
TPA;BZE;807;TPA-BZE
SSA;GVR;480;SSA-GVR
KCO;TZX;507;KCO-TZX
PEK;FUK;895;PEK-FUK
TFI;POM;145;TFI-POM
ATL;EWN;432;ATL-EWN
GDL;SMF;1660;GDL-SMF
SRZ;TJA;277;SRZ-TJA
YYZ;BNA;641;YYZ-BNA
LAW;IFP;917;LAW-IFP
TPE;RMQ;68;TPE-RMQ
MLE;BLR;681;MLE-BLR
STL;YYZ;652;STL-YYZ
TXF;LAJ;979;TXF-LAJ
CDG;TGD;924;CDG-TGD
KLX;NTE;1389;KLX-NTE
BOG;EJA;165;BOG-EJA
SAL;AUA;1285;SAL-AUA
BRS;NCL;256;BRS-NCL
INC;HRB;1136;INC-HRB
DUB;BHX;199;DUB-BHX
ULN;HET;612;ULN-HET
KBP;DXB;2160;KBP-DXB
LAS;BLI;954;LAS-BLI
EWR;PDX;2433;EWR-PDX
SNU;UIO;1558;SNU-UIO
GDQ;AXU;144;GDQ-AXU
STL;SAT;786;STL-SAT
HGH;ZHA;877;HGH-ZHA
CGH;VIX;470;CGH-VIX
WBQ;SVS;53;WBQ-SVS
INC;SJW;451;INC-SJW
PAP;SJU;413;PAP-SJU
PUS;OKA;630;PUS-OKA
CAC;PHB;1717;CAC-PHB
TFF;PTO;1769;TFF-PTO
DVO;MNL;599;DVO-MNL
MNL;BAH;4577;MNL-BAH
CGQ;NGB;1004;CGQ-NGB
ATL;DSM;743;ATL-DSM
LIM;TIJ;4041;LIM-TIJ
HHQ;SZB;662;HHQ-SZB
TZX;KCO;507;TZX-KCO
HAJ;OMS;2516;HAJ-OMS
MAH;VLL;492;MAH-VLL
EWN;ATL;432;EWN-ATL
SMF;GDL;1660;SMF-GDL
TJA;SRZ;277;TJA-SRZ
CIF;SHE;239;CIF-SHE
MDZ;NQN;423;MDZ-NQN
FUK;TAO;600;FUK-TAO
ILZ;PRG;204;ILZ-PRG
YYZ;STL;652;YYZ-STL
IKE;SAE;5210;IKE-SAE
TGD;CDG;924;TGD-CDG
NTE;KLX;1389;NTE-KLX
EJA;BOG;165;EJA-BOG
NGS;OKA;484;NGS-OKA
NCL;BRS;256;NCL-BRS
FDH;LGW;499;FDH-LGW
ASU;YUL;4972;ASU-YUL
AMS;LUX;196;AMS-LUX
ANC;KEF;3383;ANC-KEF
GUA;UDI;3687;GUA-UDI
PDX;EWR;2433;PDX-EWR
UIO;SNU;1558;UIO-SNU
IGU;SET;3523;IGU-SET
IST;TIA;483;IST-TIA
ZHA;HGH;877;ZHA-HGH
VIX;CGH;470;VIX-CGH
CMN;NTE;1002;CMN-NTE
SJW;INC;451;SJW-INC
SJU;PAP;413;SJU-PAP
EZE;SDU;1239;EZE-SDU
PHB;CAC;1717;PHB-CAC
HNL;PEK;5053;HNL-PEK
MNL;DVO;599;MNL-DVO
CWB;OPS;1031;CWB-OPS
NGB;CGQ;1004;NGB-CGQ
DSM;ATL;743;DSM-ATL
TIJ;LIM;4041;TIJ-LIM
SZB;HHQ;662;SZB-HHQ
LWO;TSF;612;LWO-TSF
OMS;HAJ;2516;OMS-HAJ
VLL;MAH;492;VLL-MAH
CUL;BGA;2572;CUL-BGA
AAL;BER;347;AAL-BER
DRS;TJM;2081;DRS-TJM
SHE;CIF;239;SHE-CIF
NQN;MDZ;423;NQN-MDZ
TAO;FUK;600;TAO-FUK
PRG;ILZ;204;PRG-ILZ
AYT;LNZ;1146;AYT-LNZ
SAE;IKE;5210;SAE-IKE
FRA;HGH;5532;FRA-HGH
NAT;OPS;1443;NAT-OPS
GYN;TFF;1394;GYN-TFF
OKA;NGS;484;OKA-NGS
BRA;IPN;537;BRA-IPN
LGW;FDH;499;LGW-FDH
YUL;ASU;4972;YUL-ASU
LUX;AMS;196;LUX-AMS
KEF;ANC;3383;KEF-ANC
YYC;ZRH;4825;YYC-ZRH
EYK;TJM;452;EYK-TJM
FEN;VCP;1648;FEN-VCP
SET;IGU;3523;SET-IGU
TIA;IST;483;TIA-IST
OAX;TIJ;1657;OAX-TIJ
LGW;SVG;581;LGW-SVG
NTE;CMN;1002;NTE-CMN
MVD;UDI;1202;MVD-UDI
GYE;REC;3123;GYE-REC
SDU;EZE;1239;SDU-EZE
MDC;MNA;213;MDC-MNA
PEK;HNL;5053;PEK-HNL
VDS;LKL;115;VDS-LKL
OPS;CWB;1031;OPS-CWB
MEX;YYZ;2018;MEX-YYZ
YVR;SJO;3508;YVR-SJO
RHO;SKG;399;RHO-SKG
ARU;RAO;171;ARU-RAO
TSF;LWO;612;TSF-LWO
AAR;FCO;1004;AAR-FCO
ARN;KEF;1315;ARN-KEF
OLB;STR;538;OLB-STR
BER;AAL;347;BER-AAL
TJM;DRS;2081;TJM-DRS
FLL;SAP;888;FLL-SAP
FRO;HOV;53;FRO-HOV
EZE;REL;682;EZE-REL
RVY;THE;1977;RVY-THE
LNZ;AYT;1146;LNZ-AYT
BNE;WLG;1560;BNE-WLG
HGH;FRA;5532;HGH-FRA
OPS;NAT;1443;OPS-NAT
TFF;GYN;1394;TFF-GYN
HAJ;TXL;152;HAJ-TXL
IPN;BRA;537;IPN-BRA
KBP;LJU;797;KBP-LJU
AMD;JED;2140;AMD-JED
MCO;REC;3960;MCO-REC
OTP;SAW;301;OTP-SAW
ZRH;YYC;4825;ZRH-YYC
TJM;EYK;452;TJM-EYK
VCP;FEN;1648;VCP-FEN
BOS;YTZ;432;BOS-YTZ
BKI;KIX;2317;BKI-KIX
TIJ;OAX;1657;TIJ-OAX
SVG;LGW;581;SVG-LGW
FCO;JED;2100;FCO-JED
UDI;MVD;1202;UDI-MVD
REC;GYE;3123;REC-GYE
YTH;YWG;407;YTH-YWG
MNA;MDC;213;MNA-MDC
EIN;SOF;1036;EIN-SOF
GYE;SNU;1695;GYE-SNU
BRC;POA;1357;BRC-POA
YYZ;MEX;2018;YYZ-MEX
ICN;OIT;412;ICN-OIT
SKG;RHO;399;SKG-RHO
RAO;ARU;171;RAO-ARU
BER;SUF;950;BER-SUF
FCO;AAR;1004;FCO-AAR
KEF;ARN;1315;KEF-ARN
STR;OLB;538;STR-OLB
HLD;TSN;706;HLD-TSN
BOS;YHZ;412;BOS-YHZ
SAP;FLL;888;SAP-FLL
HOV;FRO;53;HOV-FRO
REL;EZE;682;REL-EZE
THE;RVY;1977;THE-RVY
BSL;MAD;736;BSL-MAD
WLG;BNE;1560;WLG-BNE
PHB;VAL;743;PHB-VAL
CKS;EZE;2057;CKS-EZE
PMI;SVQ;489;PMI-SVQ
TXL;HAJ;152;TXL-HAJ
SHE;WUX;726;SHE-WUX
LJU;KBP;797;LJU-KBP
JED;AMD;2140;JED-AMD
REC;MCO;3960;REC-MCO
SAW;OTP;301;SAW-OTP
BUD;TGM;257;BUD-TGM
MII;MOC;549;MII-MOC
NCE;TXL;675;NCE-TXL
YTZ;BOS;432;YTZ-BOS
KIX;BKI;2317;KIX-BKI
ADL;DPS;2335;ADL-DPS
HRB;NZH;497;HRB-NZH
JED;FCO;2100;JED-FCO
KRO;UFA;384;KRO-UFA
CPH;DUB;771;CPH-DUB
YWG;YTH;407;YWG-YTH
FIH;KGA;495;FIH-KGA
SOF;EIN;1036;SOF-EIN
SNU;GYE;1695;SNU-GYE
POA;BRC;1357;POA-BRC
AMS;IST;1384;AMS-IST
OIT;ICN;412;OIT-ICN
LAS;PVD;2363;LAS-PVD
HRB;JGD;3701;HRB-JGD
SUF;BER;950;SUF-BER
CTG;CUZ;1666;CTG-CUZ
MAM;VLN;2216;MAM-VLN
GDZ;KUF;826;GDZ-KUF
TSN;HLD;706;TSN-HLD
YHZ;BOS;412;YHZ-BOS
CCS;SCL;3048;CCS-SCL
AMS;NDR;1243;AMS-NDR
BPG;FOR;1258;BPG-FOR
AMM;DEL;2452;AMM-DEL
MAD;BSL;736;MAD-BSL
FRL;OTP;693;FRL-OTP
VAL;PHB;743;VAL-PHB
EZE;CKS;2057;EZE-CKS
SVQ;PMI;489;SVQ-PMI
BRA;BVH;1019;BRA-BVH
WUX;SHE;726;WUX-SHE
PHL;PUJ;1526;PHL-PUJ
HKG;YIW;616;HKG-YIW
ADA;HAM;1669;ADA-HAM
CTA;TXL;1046;CTA-TXL
TGM;BUD;257;TGM-BUD
MOC;MII;549;MOC-MII
TXL;NCE;675;TXL-NCE
DRS;HRG;1953;DRS-HRG
FGU;RRR;2936;FGU-RRR
DPS;ADL;2335;DPS-ADL
NZH;HRB;497;NZH-HRB
OSL;SVO;997;OSL-SVO
UFA;KRO;384;UFA-KRO
DUB;CPH;771;DUB-CPH
GYE;VCP;2623;GYE-VCP
KGA;FIH;495;KGA-FIH
FLL;MAO;2408;FLL-MAO
BVB;GVR;1908;BVB-GVR
JJD;SSA;705;JJD-SSA
IST;AMS;1384;IST-AMS
BRC;SJK;1915;BRC-SJK
PVD;LAS;2363;PVD-LAS
JGD;HRB;3701;JGD-HRB
CEB;MPH;172;CEB-MPH
CUZ;CTG;1666;CUZ-CTG
YUL;YUY;306;YUL-YUY
IKA;MCT;921;IKA-MCT
GRU;PUJ;3243;GRU-PUJ
OAL;VCP;1233;OAL-VCP
SCL;CCS;3048;SCL-CCS
NDR;AMS;1243;NDR-AMS
FOR;BPG;1258;FOR-BPG
DEL;AMM;2452;DEL-AMM
ICN;TSE;2810;ICN-TSE
OTP;FRL;693;OTP-FRL
BOD;LIL;433;BOD-LIL
AGA;ZRH;1521;AGA-ZRH
CWL;DUB;185;CWL-DUB
BVH;BRA;1019;BVH-BRA
SNU;YSJ;1762;SNU-YSJ
PUJ;PHL;1526;PUJ-PHL
YIW;HKG;616;YIW-HKG
HAM;ADA;1669;HAM-ADA
TXL;CTA;1046;TXL-CTA
SGN;TBB;238;SGN-TBB
ATL;ECP;240;ATL-ECP
HGH;NNG;899;HGH-NNG
HRG;DRS;1953;HRG-DRS
AAX;CXJ;717;AAX-CXJ
FUK;NKM;387;FUK-NKM
DOK;MUC;1188;DOK-MUC
SVO;OSL;997;SVO-OSL
MBJ;MEX;1386;MBJ-MEX
BZE;FRS;112;BZE-FRS
VCP;GYE;2623;VCP-GYE
NAS;PBI;199;NAS-PBI
MAO;FLL;2408;MAO-FLL
GVR;BVB;1908;GVR-BVB
SSA;JJD;705;SSA-JJD
CNF;LDB;527;CNF-LDB
SJK;BRC;1915;SJK-BRC
GDN;TRD;680;GDN-TRD
EZS;FRA;1695;EZS-FRA
MPH;CEB;172;MPH-CEB
JKR;KTM;79;JKR-KTM
YUY;YUL;306;YUY-YUL
MCT;IKA;921;MCT-IKA
PUJ;GRU;3243;PUJ-GRU
VCP;OAL;1233;VCP-OAL
POJ;SJP;240;POJ-SJP
MDG;SHE;367;MDG-SHE
IAD;PIT;183;IAD-PIT
AYT;TZX;558;AYT-TZX
TSE;ICN;2810;TSE-ICN
DUS;NBE;1065;DUS-NBE
LIL;BOD;433;LIL-BOD
ZRH;AGA;1521;ZRH-AGA
DUB;CWL;185;DUB-CWL
MCP;SSA;1244;MCP-SSA
YSJ;SNU;1762;YSJ-SNU
DME;UKK;1869;DME-UKK
ARU;EZE;1066;ARU-EZE
AMS;GVA;423;AMS-GVA
GRU;TBT;2051;GRU-TBT
TBB;SGN;238;TBB-SGN
ECP;ATL;240;ECP-ATL
NNG;HGH;899;NNG-HGH
SJO;ROC;2315;SJO-ROC
CXJ;AAX;717;CXJ-AAX
NKM;FUK;387;NKM-FUK
MUC;DOK;1188;MUC-DOK
BSB;PEI;2377;BSB-PEI
MEX;MBJ;1386;MEX-MBJ
FRS;BZE;112;FRS-BZE
CAI;MAD;2081;CAI-MAD
PBI;NAS;199;PBI-NAS
BDS;CGN;874;BDS-CGN
CCS;MAO;1053;CCS-MAO
FRA;MRS;481;FRA-MRS
LDB;CNF;527;LDB-CNF
FSZ;FUK;447;FSZ-FUK
TRD;GDN;680;TRD-GDN
FRA;EZS;1695;FRA-EZS
DBV;HAM;853;DBV-HAM
KTM;JKR;79;KTM-JKR
DIQ;JDO;971;DIQ-JDO
OZH;VKO;543;OZH-VKO
CTU;KUL;1907;CTU-KUL
LCE;RTB;42;LCE-RTB
SJP;POJ;240;SJP-POJ
SHE;MDG;367;SHE-MDG
PIT;IAD;183;PIT-IAD
TZX;AYT;558;TZX-AYT
STR;GCI;539;STR-GCI
NBE;DUS;1065;NBE-DUS
DMB;DME;1721;DMB-DME
FCO;HEL;1386;FCO-HEL
JPA;PHB;551;JPA-PHB
SSA;MCP;1244;SSA-MCP
DLA;IST;2820;DLA-IST
UKK;DME;1869;UKK-DME
EZE;ARU;1066;EZE-ARU
GVA;AMS;423;GVA-AMS
TBT;GRU;2051;TBT-GRU
PVG;ULN;1399;PVG-ULN
GVR;PAV;702;GVR-PAV
MED;SAW;1289;MED-SAW
CCJ;SHJ;1663;CCJ-SHJ
HAM;RIX;598;HAM-RIX
AWZ;JED;891;AWZ-JED
BGY;MUC;210;BGY-MUC
PEI;BSB;2377;PEI-BSB
KIX;ROR;1862;KIX-ROR
BKI;SZX;1157;BKI-SZX
MAD;CAI;2081;MAD-CAI
BEY;CMN;2459;BEY-CMN
CGN;BDS;874;CGN-BDS
MAO;CCS;1053;MAO-CCS
MRS;FRA;481;MRS-FRA
LDB;UMU;142;LDB-UMU
FUK;FSZ;447;FUK-FSZ
ANC;PDX;1538;ANC-PDX
MDE;SJU;1057;MDE-SJU
HAM;DBV;853;HAM-DBV
ADB;SKP;387;ADB-SKP
JDO;DIQ;971;JDO-DIQ
VKO;OZH;543;VKO-OZH
KUL;CTU;1907;KUL-CTU
RTB;LCE;42;RTB-LCE
CEB;SZX;1072;CEB-SZX
MAB;SJK;1253;MAB-SJK
FEC;PAV;199;FEC-PAV
ENF;HEL;559;ENF-HEL
MID;PAP;1142;MID-PAP
AGP;MRS;694;AGP-MRS
DME;GOI;3368;DME-GOI
HEL;FCO;1386;HEL-FCO
PHB;JPA;551;PHB-JPA
CAG;MUC;642;CAG-MUC
IST;DLA;2820;IST-DLA
CEK;TJU;1258;CEK-TJU
SVX;UUD;1880;SVX-UUD
IXJ;IXL;186;IXJ-IXL
LCA;VIE;1268;LCA-VIE
ULN;PVG;0;ULN-PVG
PAV;GVR;702;PAV-GVR
SAW;MED;1289;SAW-MED
SHJ;CCJ;1663;SHJ-CCJ
RIX;HAM;598;RIX-HAM
JED;AWZ;891;JED-AWZ
MUC;BGY;210;MUC-BGY
IND;PTY;2153;IND-PTY
ROR;KIX;1862;ROR-KIX
SZX;BKI;1157;SZX-BKI
SCL;VSA;3822;SCL-VSA
CMN;BEY;2459;CMN-BEY
NAY;XFN;574;NAY-XFN
CNS;CAN;3532;CNS-CAN
HPN;SLK;230;HPN-SLK
UMU;LDB;142;UMU-LDB
CWB;HAV;4011;CWB-HAV
PDX;ANC;1538;PDX-ANC
SJU;MDE;1057;SJU-MDE
DMK;HHQ;98;DMK-HHQ
SKP;ADB;387;SKP-ADB
RAI;SNE;125;RAI-SNE
ABQ;MAF;332;ABQ-MAF
KTL;LOK;155;KTL-LOK
CTG;IQT;990;CTG-IQT
SZX;CEB;1072;SZX-CEB
SJK;MAB;1253;SJK-MAB
PAV;FEC;199;PAV-FEC
HEL;ENF;559;HEL-ENF
PAP;MID;1142;PAP-MID
MRS;AGP;694;MRS-AGP
GOI;DME;3368;GOI-DME
LXR;NUE;2012;LXR-NUE
DSS;LIS;1737;DSS-LIS
MUC;CAG;642;MUC-CAG
EZE;ROO;1282;EZE-ROO
TJU;CEK;0;TJU-CEK
UUD;SVX;1880;UUD-SVX
IXL;IXJ;186;IXL-IXJ
VIE;LCA;1268;VIE-LCA
BYO;PMG;109;BYO-PMG
ADD;MNL;5544;ADD-MNL
AUH;FRA;3020;AUH-FRA
PGZ;SMT;950;PGZ-SMT
KMG;LYA;886;KMG-LYA
EZE;MID;4346;EZE-MID
CGH;VDC;713;CGH-VDC
PTY;IND;2153;PTY-IND
PBJ;ULB;9;PBJ-ULB
DIQ;NAT;1183;DIQ-NAT
VSA;SCL;3822;VSA-SCL
KSF;SPU;632;KSF-SPU
XFN;NAY;0;XFN-NAY
CNS;SYD;1224;CNS-SYD
SLK;HPN;230;SLK-HPN
MAD;PNA;186;MAD-PNA
HAV;CWB;4011;HAV-CWB
DTM;WRO;407;DTM-WRO
LAS;SNA;226;LAS-SNA
HHQ;DMK;98;HHQ-DMK
TLV;VIN;1233;TLV-VIN
SNE;RAI;125;SNE-RAI
MAF;ABQ;332;MAF-ABQ
LOK;KTL;155;LOK-KTL
IQT;CTG;990;IQT-CTG
HFE;TSA;534;HFE-TSA
FRU;IST;2317;FRU-IST
DME;IFO;719;DME-IFO
TFS;ZRH;1887;TFS-ZRH
DNH;XNN;466;DNH-XNN
EIS;VIJ;7;EIS-VIJ
ARU;PGZ;280;ARU-PGZ
NUE;LXR;2012;NUE-LXR
LIS;DSS;1737;LIS-DSS
MEX;PVG;8010;MEX-PVG
ROO;EZE;1282;ROO-EZE
ORD;YUL;747;ORD-YUL
MAB;REC;994;MAB-REC
HKG;OKJ;1480;HKG-OKJ
TGH;VLI;57;TGH-VLI
PMG;BYO;109;PMG-BYO
MNL;ADD;5544;MNL-ADD
FRA;AUH;3020;FRA-AUH
SMT;PGZ;950;SMT-PGZ
LYA;KMG;886;LYA-KMG
MID;EZE;4346;MID-EZE
VDC;CGH;713;VDC-CGH
FLL;LIM;2638;FLL-LIM
ULB;PBJ;9;ULB-PBJ
NAT;DIQ;1183;NAT-DIQ
PUS;PVG;520;PUS-PVG
SPU;KSF;632;SPU-KSF
DAM;SHJ;1272;DAM-SHJ
SYD;CNS;1224;SYD-CNS
KAS;LUN;1073;KAS-LUN
PNA;MAD;186;PNA-MAD
YEG;YQF;79;YEG-YQF
WRO;DTM;407;WRO-DTM
SNA;LAS;226;SNA-LAS
CKS;GPB;1335;CKS-GPB
VIN;TLV;1233;VIN-TLV
GRO;MAH;160;GRO-MAH
DUB;TLS;760;DUB-TLS
SUK;YKS;1703;SUK-YKS
RIA;TXF;1221;RIA-TXF
TSA;HFE;534;TSA-HFE
IST;FRU;2317;IST-FRU
IFO;DME;719;IFO-DME
ZRH;TFS;1887;ZRH-TFS
XNN;DNH;466;XNN-DNH
SPU;VKO;1249;SPU-VKO
PGZ;ARU;280;PGZ-ARU
GVA;SKG;934;GVA-SKG
SZX;ZYI;546;SZX-ZYI
PVG;MEX;8010;PVG-MEX
TFS;IBZ;1273;TFS-IBZ
YUL;ORD;747;YUL-ORD
REC;MAB;994;REC-MAB
OKJ;HKG;1480;OKJ-HKG
VLI;TGH;57;VLI-TGH
ACE;GVA;1601;ACE-GVA
PNS;TPA;330;PNS-TPA
ABQ;PTY;2481;ABQ-PTY
KUL;MRU;3387;KUL-MRU
NNG;XMN;629;NNG-XMN
HAJ;SID;3037;HAJ-SID
HET;NAY;252;HET-NAY
LIM;FLL;2638;LIM-FLL
TIA;VIE;496;TIA-VIE
BSB;CCS;2240;BSB-CCS
PVG;PUS;520;PVG-PUS
LHR;MIA;4415;LHR-MIA
SHJ;DAM;1272;SHJ-DAM
LAX;TUS;450;LAX-TUS
LUN;KAS;1073;LUN-KAS
BER;TLV;1779;BER-TLV
YQF;YEG;79;YQF-YEG
PRG;RTM;445;PRG-RTM
BCN;GRU;5447;BCN-GRU
GPB;CKS;1335;GPB-CKS
CEN;GDL;628;CEN-GDL
MAH;GRO;160;MAH-GRO
TLS;DUB;760;TLS-DUB
YKS;SUK;0;YKS-SUK
TXF;RIA;1221;TXF-RIA
PET;SLZ;2080;PET-SLZ
DTW;HKG;7857;DTW-HKG
BOS;RDU;611;BOS-RDU
CAY;POA;2406;CAY-POA
IMP;TJL;1089;IMP-TJL
VKO;SPU;1249;VKO-SPU
FEC;JOI;1163;FEC-JOI
SKG;GVA;934;SKG-GVA
ZYI;SZX;546;ZYI-SZX
PAP;VER;1564;PAP-VER
SCL;VER;3983;SCL-VER
CUU;GDL;588;CUU-GDL
MBJ;YHM;1704;MBJ-YHM
BGA;CUR;452;BGA-CUR
IMP;IOS;860;IMP-IOS
GVA;ACE;1601;GVA-ACE
