IATA,Airport,Location
DCN,RAAF Base Curtin,"Derby, Western Australia, Australia"
DCT,Duncan Town Airport,"Duncan Town, Ragged Island, Bahamas"
DCU,Pryor Field Regional Airport,"Decatur, Alabama, United States"
DCY,Daocheng Yading Airport,"Daocheng, Sichuan, China"
DDC,Dodge City Regional Airport,"Dodge City, Kansas, United States"
DDG,Dandong Langtou Airport,"Dandong, Liaoning, China"
DDM,Dodoima Airport,"Dodoima, Papua New Guinea"
DDN,Delta Downs Airport,"Delta Downs, Queensland, Australia"
DDU,Dadu Airport,"Dadu, Pakistan"
DEA,Dera Ghazi Khan International Airport,"Dera Ghazi Khan, Pakistan"
DEB,Debrecen International Airport,"Debrecen, Hungary"
DEC,Decatur Airport,"Decatur, Illinois, United States"
DED,Jolly Grant Airport,"Dehradun, Uttarakhand, India"
DEE,Yuzhno-Kurilsk Mendeleyevo Airport,"Yuzhno-Kurilsk, Sakhalin Oblast, Russia"
DEF,Dezful Airport,"Dezful, Iran"
DEH,Decorah Municipal Airport,"Decorah, Iowa, United States"
DEI,Denis Island Airport,"Denis Island, Seychelles"
DEL,Indira Gandhi International Airport,"Delhi, India"
DEM,Dembidolo Airport,"Dembidolo, Ethiopia"
DEN,Denver International Airport,"Denver, Colorado, United States"
DEP,Daporijo Airport,"Daporijo, Arunachal Pradesh, India"
DER,Derim Airport,"Derim, Papua New Guinea"
DES,Desroches Airport,"Desroches Island, Seychelles"
DET,Coleman A. Young International Airport,"Detroit, Michigan, United States"
DEX,Nop Goliath Airport,"Yahukimo, Indonesia"
DEZ,Deir ez-Zor Airport,"Deir ez-Zor, Syria"
DFI,Defiance Memorial Airport,"Defiance, Ohio, United States"
DFP,Drumduff Airport,"Drumduff, Queensland, Australia"
DFW,Dallas/Fort Worth International Airport,"Dallas / Fort Worth, Texas, United States"
DGA,Dangriga Airport,"Dangriga, Belize"
DGC,Degeh Bur Airport,"Degeh Bur, Ethiopia"
DGD,Dalgaranga Airport,"Dalgaranga Gold Mine, Western Australia, Australia"
DGE,Mudgee Airport,"Mudgee, New South Wales, Australia"
DGF,Douglas Lake Airport,"Douglas Lake, British Columbia, Canada"
DGK,Dugong Beach Lodge Airstrip,"Dugong Beach Lodge, Mozambique"
DGL,Douglas Municipal Airport,"Douglas, Arizona, United States"
DGM,Dandugama Seaplane Base,"Colombo, Sri Lanka"
DGN,Naval Surface Warfare Center Dahlgren Division (FAA: NDY),"Dahlgren, Virginia, United States"
DGO,General Guadalupe Victoria International Airport,"Durango, Durango, Mexico"
DGP,Daugavpils International Airport,"Daugavpils, Latvia"
DGR,Dargaville Aerodrome,"Dargaville, New Zealand"
DGT,Sibulan Airport (Dumaguete Airport),"Dumaguete, Philippines"
DGU,Dédougou Airport,"Dédougou, Burkina Faso"
DGW,Converse County Airport,"Douglas, Wyoming, United States"
DHA,King Abdulaziz Air Base,"Dhahran, Saudi Arabia"
DHB,Deer Harbor Sea Plane Base,"Deer Harbor, Washington, United States"
DHD,Durham Downs Airport,"Durham Downs, Queensland, Australia"
DHF,Al Dhafra Air Base,"Abu Dhabi, United Arab Emirates"
DHI,Dhangadhi Airport,"Dhangadhi, Nepal"
DHL,Dhala Airport,"Dhala, Yemen"
DHM,Gaggal Airport,"Kangra, Himachal Pradesh, India"
DHN,Dothan Regional Airport,"Dothan, Alabama, United States"
DHR,De Kooy Airfield,"Den Helder, Netherlands"
DHT,Dalhart Municipal Airport,"Dalhart, Texas, United States"
DIB,Dibrugarh Airport (Mohanbari Airport),"Dibrugarh, Assam, India"
DIE,Arrachart Airport,"Antsiranana, Madagascar"
DIG,Diqing Shangri-La Airport,"Shangri-La, Yunnan, China"
DIJ,Dijon Air Base,"Dijon, Burgundy, France"
DIK,Dickinson Theodore Roosevelt Regional Airport,"Dickinson, North Dakota, United States"
DIL,Presidente Nicolau Lobato International Airport,"Dili, East Timor"
DIM,Dimbokro Airport,"Dimbokro, Ivory Coast"
DIN,Dien Bien Phu Airport,"Dien Bien Phu, Vietnam"
DIP,Diapaga Airport,"Diapaga, Burkina Faso"
DIQ,Divinópolis Airport (Brigadeiro Cabral Airport),"Divinópolis, Minas Gerais, Brazil"
DIR,Aba Tenna Dejazmach Yilma International Airport,"Dire Dawa, Ethiopia"
DIS,Dolisie Airport,"Dolisie, Republic of the Congo"
DIU,Diu Airport,"Diu, Daman and Diu, India"
DIV,Divo Airport,"Divo, Ivory Coast"
DIW,Mawella Lagoon Seaplane Base,"Dickwella, Sri Lanka"
DIY,Diyarbakir Airport,"Diyarbakir, Turkey"
DJA,Djougou Airport,"Djougou, Benin"
DJB,Sultan Thaha Airport,"Jambi, Indonesia"
DJE,Djerba–Zarzis International Airport,"Djerba, Tunisia"
DJG,Tiska Djanet Airport,"Djanet, Algeria"
DJH,Jebel Ali Seaplane Base,"Dubai, United Arab Emirates"
DJJ,Sentani Airport,"Jayapura, Indonesia"
DJM,Djambala Airport,"Djambala, Republic of the Congo"
DJN,Delta Junction Airport (FAA: D66),"Delta Junction, Alaska, United States"
DJO,Daloa Airport,"Daloa, Ivory Coast"
DJU,Djúpivogur Airport,"Djúpivogur, Iceland"
DKA,Katsina Airport,"Katsina, Nigeria"
DKI,Dunk Island Airport,"Dunk Island, Queensland, Australia"
DKK,Chautauqua County/Dunkirk Airport,"Dunkirk, New York, United States"
DKR,Léopold Sédar Senghor International Airport,"Dakar, Senegal"
DKS,Dikson Airport,"Dikson, Krasnoyarsk Krai, Russia"
DKV,Docker River Airport,"Docker River, Northern Territory, Australia"
DLA,Douala International Airport,"Douala, Cameroon"
DLB,Dalbertis Airport,"Dalbertis, Papua New Guinea"
DLC,Dalian Zhoushuizi International Airport,"Dalian, Liaoning, China"
DLE,Dole–Jura Airport,"Dole, Franche-Comté, France"
DLF,Laughlin Air Force Base,"Del Rio, Texas, United States"
DLG,Dillingham Airport,"Dillingham, Alaska, United States"
DLH,Duluth International Airport,"Duluth, Minnesota, United States"
DLI,Lien Khuong Airport,"Da Lat, Vietnam"
DLK,Dulkaninna Airport,"Dulkaninna, South Australia, Australia"
DLL,Dillon County Airport (FAA: DLC),"Dillon, South Carolina, United States"
DLM,Dalaman Airport,"Dalaman, Turkey"
DLN,Dillon Airport,"Dillon, Montana, United States"
DLS,Columbia Gorge Regional Airport (The Dalles Municipal Airport),"The Dalles, Oregon, United States"
DLU,Dali Airport,"Dali, Yunnan, China"
DLV,Delissaville Airport,"Delissaville, Northern Territory, Australia"
DLY,Dillon's Bay Airport,"Dillon's Bay, Erromango, Tafea, Vanuatu"
DLZ,Dalanzadgad Airport,"Dalanzadgad, Mongolia"
DMA,Davis–Monthan Air Force Base,"Tucson, Arizona, United States"
DMB,Taraz Airport (Jambyl Airport),"Taraz, Kazakhstan"
DMD,Doomadgee Airport,"Doomadgee, Queensland, Australia"
DME,Domodedovo International Airport,"Moscow, Russia"
DMK,Don Mueang International Airport,"Bangkok, Thailand"
DMM,King Fahd International Airport,"Dammam, Saudi Arabia"
DMN,Deming Municipal Airport,"Deming, New Mexico, United States"
DMO,Sedalia Regional Airport,"Sedalia, Missouri, United States"
DMR,Dhamar Airport,"Dhamar, Yemen"
DMT,Diamantino Airport,"Diamantino, Mato Grosso, Brazil"
DMU,Dimapur Airport,"Dimapur, Nagaland, India"
DNA,Kadena Air Base,"Kadena, Okinawa, Japan"
DNB,Dunbar Airport,"Dunbar, Queensland, Australia"
DND,Dundee Airport,"Dundee, Scotland, United Kingdom"
DNF,Martuba Air Base,"Derna, Libya"
DNG,Doongan Airport,"Doongan, Western Australia, Australia"
DNH,Dunhuang Airport,"Dunhuang, Gansu, China"
DNI,Wad Medani Airport,"Wad Madani, Sudan"
DNK,Dnipropetrovsk International Airport,"Dnipro, Ukraine"
DNL,Daniel Field,"Augusta, Georgia, United States"
DNM,Denham Airport,"Denham, Western Australia, Australia"
DNN,Dalton Municipal Airport,"Dalton, Georgia, United States"
DNO,Dianópolis Airport,"Dianópolis, Tocantins, Brazil"
DNP,Tribhuvannagar Airport (Dang Airport),"Tribhuwannagar, Nepal"
DNQ,Deniliquin Airport,"Deniliquin, New South Wales, Australia"
DNR,Dinard–Pleurtuit–Saint-Malo Airport,"Dinard / Saint-Malo, Brittany, France"
DNS,Denison Municipal Airport,"Denison, Iowa, United States"
DNU,Dinangat Airport,"Dinangat, Papua New Guinea"
DNV,Vermilion Regional Airport,"Danville, Illinois, United States"
DNX,Galegu Airport,"Dinder, Sudan"
DNZ,Denizli Çardak Airport,"Denizli, Turkey"
DOA,Doany Airport,"Doany, Madagascar"
DOB,Dobo Airport,"Dobo, Indonesia"
DOC,Dornoch Airport,"Dornoch, Scotland, United Kingdom"
DOD,Dodoma Airport,"Dodoma, Tanzania"
DOE,Djoemoe Airstrip,"Djoemoe, Suriname"
DOG,Dongola Airport,"Dongola, Sudan"
DOH,Hamad International Airport,"Doha, Qatar"
DOI,Doini Island Airport,"Doini Island, Papua New Guinea"
DOK,Donetsk International Airport,"Donetsk, Ukraine"
DOL,Deauville – Saint-Gatien Airport,"Deauville, Lower Normandy, France"
DOM,Douglas–Charles Airport,"St Andrew Parish, Dominica"
DON,Dos Lagunas Airport,"Dos Lagunas, Guatemala"
DOO,Dorobisoro Airstrip,"Dorobisoro, Papua New Guinea"
DOP,Dolpa Airport,"Dolpa, Nepal"
DOR,Dori Airport,"Dori, Burkina Faso"
DOS,Dios Airport,"Dios, Papua New Guinea"
DOU,Dourados Airport (Francisco de Matos Pereira Airport),"Dourados, Mato Grosso do Sul, Brazil"
DOV,Dover Air Force Base,"Dover, Delaware, United States"
DOX,Dongara Airport,"Dongara, Western Australia, Australia"
DOY,Dongying Shengli Airport,"Dongying, Shandong, China"
DPA,DuPage Airport,"West Chicago, Illinois, United States"
DPE,Dieppe - Saint-Aubin Airport,"Dieppe, Upper Normandy, France"
DPG,Michael Army Airfield,"Dugway, Utah, United States"
DPL,Dipolog Airport,"Dipolog, Philippines"
DPO,Devonport Airport,"Devonport, Tasmania, Australia"
DPS,Ngurah Rai International Airport,"Denpasar (Bali), Indonesia"
DPT,Deputatsky Airport,"Deputatsky, Yakutia, Russia"
DPU,Dumpu Airport,"Dumpu, Papua New Guinea"
DQA,Daqing Sartu Airport,"Daqing, Heilongjiang, China"
DQM,Duqm International Airport,"Duqm, Oman"
DRA,Desert Rock Airport,"Mercury, Nevada, United States"
DRB,Derby Airport,"Derby, Western Australia, Australia"
DRC,Dirico Airport,"Dirico, Angola"
DRD,Dorunda Airport,"Dorunda, Queensland, Australia"
DRE,Drummond Island Airport (FAA: DRM),"Drummond Island, Michigan, United States"
DRF,Drift River Airport,"Drift River, Alaska, United States"
DRG,Deering Airport (FAA: DEE),"Deering, Alaska, United States"
DRH,Dabra Airport,"Dabra, Indonesia"
DRI,Beauregard Regional Airport,"DeRidder, Louisiana, United States"
DRJ,Drietabbetje Airstrip,"Drietabbetje, Suriname"
DRK,Drake Bay Airport,"Drake Bay, Costa Rica"
DRN,Dirranbandi Airport,"Dirranbandi, Queensland, Australia"
DRO,Durango–La Plata County Airport,"Durango, Colorado, United States"
DRR,Durrie Airport,"Durrie, Queensland, Australia"
DRS,Dresden Airport,"Dresden, Saxony, Germany"
DRT,Del Rio International Airport,"Del Rio, Texas, United States"
DRU,Drummond Airport (FAA: M26),"Drummond, Montana, United States"
DRV,Dharavandhoo Airport,"Dharavandhoo Island, Baa Atoll, Maldives"
DRW,Darwin International Airport,"Darwin, Northern Territory, Australia"
DRY,Drysdale River Airport,"Drysdale River, Western Australia, Australia"
DSA,Robin Hood Airport Doncaster Sheffield,"Doncaster, England, United Kingdom"
DSC,Dschang Airport,"Dschang, Cameroon"
DSD,La Désirade Airport (Grande-Anse Airport),"La Désirade, Guadeloupe"
DSE,Combolcha Airport,"Dessie / Kombolcha, Ethiopia"
DSG,Dilasag Airport,"Dilasag, Philippines"
DSI,Destin Executive Airport (FAA: DTS),"Destin, Florida, United States"
DSK,Dera Ismail Khan Airport,"Dera Ismail Khan, Pakistan"
DSM,Des Moines International Airport,"Des Moines, Iowa, United States"
DSN,Ordos Ejin Horo Airport,"Ordos, Inner Mongolia, China"
DSO,Sondok Airport,"Sondok, North Korea"
DSS,Blaise Diagne International Airport,"Dakar, Senegal"
DSV,Dansville Municipal Airport,"Dansville, New York, United States"
DSX,Dongsha Island Airport,"Pratas (Dongsha) Islands, Taiwan"
DTA,Delta Municipal Airport,"Delta, Utah, United States"
DTB,Silangit Airport,"Siborong-Borong, Indonesia"
DTD,Datadawai Airport,"Datadawai, Indonesia"
DTE,Bagasbas Airport,"Daet, Philippines"
DTH,Furnace Creek Airport (FAA: L06),"Death Valley, California, United States"
DTI,Diamantina Airport,"Diamantina, Minas Gerais, Brazil"
DTL,Detroit Lakes Airport (Wething Field),"Detroit Lakes, Minnesota, United States"
DTM,Dortmund Airport,"Dortmund, North Rhine-Westphalia, Germany"
DTN,Shreveport Downtown Airport,"Shreveport, Louisiana, United States"
DTR,Decatur Shores Airport,"Decatur Island, Washington, United States"
DTT[1],metropolitan area1,"Detroit, Michigan, United States"
DTU,Wudalianchi Airport,"Wudalianchi, Heilongjiang, China"
DTW,Detroit Metropolitan Wayne County Airport,"Detroit, Michigan, United States"
DUA,Durant Regional Airport–Eaker Field,"Durant, Oklahoma, United States"
DUB,Dublin Airport,"Dublin, Ireland"
DUC,Halliburton Field,"Duncan, Oklahoma, United States"
DUD,Dunedin International Airport,"Dunedin, New Zealand"
DUE,Dundo Airport,"Dundo, Angola"
DUF,Pine Island Airport (FAA: 7NC2),"Corolla, North Carolina, United States"
DUG,Bisbee Douglas International Airport,"Bisbee / Douglas, Arizona, United States"
DUJ,DuBois Regional Airport,"DuBois, Pennsylvania, United States"
DUK,Dukuduku Airport,"Mtubatuba, South Africa"
DUM,Pinang Kampai Airport,"Dumai, Indonesia"
DUQ,Duncan Airport,"Duncan, British Columbia, Canada"
DUR,King Shaka International Airport,"Durban, South Africa"
DUS,Düsseldorf Airport,"Düsseldorf, North Rhine-Westphalia, Germany"
DUT,Unalaska Airport,"Unalaska, Alaska, United States"
DVD,Andavadoaka Airport,"Andavadoaka, Madagascar"
DVK,Diavik Airport,"Diavik Diamond Mine, Northwest Territories, Canada"
DVL,Devils Lake Regional Airport (Devils Lake Municipal Airport),"Devils Lake, North Dakota, United States"
DVN,Davenport Municipal Airport,"Davenport, Iowa, United States"
DVO,Francisco Bangoy International Airport,"Davao City, Philippines"
DVP,Davenport Downs Airport,"Davenport Downs, Queensland, Australia"
DVR,Daly River Airport,"Daly River, Northern Territory, Australia"
DVT,Phoenix Deer Valley Airport,"Phoenix, Arizona, United States"
DWA,Dwanga Airport (Dwangwa Airport),"Dwangwa, Malawi"
DWB,Soalala Airport,"Soalala, Madagascar"
DWC,Al Maktoum International Airport,"Dubai, United Arab Emirates"
DWD,Dawadmi Domestic Airport (King Salman bin Abdul Aziz Domestic Airport),"Dawadmi, Saudi Arabia"
DWH,David Wayne Hooks Memorial Airport,"Houston, Texas, United States"
DWO,Diyawanna Oya Seaplane Base,"Sri Jayawardenepura Kotte, Sri Lanka"
DWR,Dwyer Airport,"Camp Dwyer, Afghanistan"
DXB,Dubai International Airport,"Dubai, United Arab Emirates"
DXD,Dixie Airport,"Dixie, Queensland, Australia"
DXE,Bruce Campbell Field (FAA: MBO),"Madison, Mississippi, United States"
DXR,Danbury Municipal Airport,"Danbury, Connecticut, United States"
DYA,Dysart Airport,"Dysart, Queensland, Australia"
DYG,Zhangjiajie Hehua Airport,"Zhangjiajie, Hunan, China"
DYL,Doylestown Airport,"Doylestown, Pennsylvania, United States"
DYM,Diamantina Lakes Airport,"Diamantina Lakes, Queensland, Australia"
DYR,Ugolny Airport,"Anadyr, Chukotka, Russia"
DYS,Dyess Air Force Base,"Abilene, Texas, United States"
DYU,Dushanbe International Airport,"Dushanbe, Tajikistan"
DYW,Daly Waters Airport,"Daly Waters, Northern Territory, Australia"
DZA,Dzaoudzi–Pamandzi International Airport,"Dzaoudzi, Mayotte"
DZI,Codazzi Airport,"Codazzi, Colombia"
DZN,Zhezkazgan Airport,"Zhezkazgan, Kazakhstan"
DZO,Santa Bernardina International Airport,"Durazno, Uruguay"
DZU,Dazu Air Base,"Dazu, Chongqing, China"
EAA,Eagle Airport,"Eagle, Alaska, United States"
EAB,Abbs Airport,"Abbs, Yemen"
EAE,Siwo Airport,"Emae Island, Shefa, Vanuatu"
EAL,Elenak Airport,"Mejato Island, Kwajalein Atoll, Marshall Islands"
EAM,Najran Domestic Airport,"Najran, Saudi Arabia"
EAN,Phifer Airfield,"Wheatland, Wyoming, United States"
EAP[1],metropolitan area2,"Basel, Switzerland / Mulhouse, Alsace, France"
EAR,Kearney Regional Airport,"Kearney, Nebraska, United States"
EAS,San Sebastián Airport,"San Sebastián, Basque Country, Spain"
EAT,Pangborn Memorial Airport,"Wenatchee, Washington, United States"
EAU,Chippewa Valley Regional Airport,"Eau Claire, Wisconsin, United States"
EBA,Marina di Campo Airport,"Elba Island, Tuscany, Italy"
EBB,Entebbe International Airport,"Entebbe, Uganda"
EBD,El Obeid Airport,"El Obeid, Sudan"
EBG,El Bagre Airport (El Tomin Airport),"El Bagre, Colombia"
EBH,El Bayadh Airport,"El Bayadh, Algeria"
EBJ,Esbjerg Airport,"Esbjerg, Denmark"
EBL,Erbil International Airport,"Erbil, Iraq"
EBM,El Borma Airport,"El Borma, Tunisia"
EBN,Ebadon Airstrip,"Ebadon Island, Kwajalein Atoll, Marshall Islands"
EBO,Ebon Airport,"Ebon Atoll, Marshall Islands"
EBS,Webster City Municipal Airport,"Webster City, Iowa, United States"
EBU,Saint-Étienne–Bouthéon Airport,"Saint-Étienne, Rhône-Alpes, France"
EBW,Ebolowa Airport,"Ebolowa, Cameroon"
ECA,Iosco County Airport (FAA: 6D9),"East Tawas, Michigan, United States"
ECG,Elizabeth City Regional Airport,"Elizabeth City, North Carolina, United States"
ECH,Echuca Airport,"Echuca, Victoria, Australia"
ECI,Costa Esmeralda Airport,"Rivas, Nicaragua"
ECN,Ercan International Airport,"Nicosia (Lefkosa), Northern Cyprus"
ECO,El Encanto Airport,"El Encanto, Colombia"
ECP,Northwest Florida Beaches International Airport,"Panama City, Florida, United States"
ECR,El Charco Airport,"El Charco, Colombia"
ECS,Mondell Field,"Newcastle, Wyoming, United States"
EDA,Edna Bay Seaplane Base,"Edna Bay, Alaska, United States"
EDB,El Debba Airport,"El Debba, Sudan"
EDD,Erldunda Airport,"Erldunda, Northern Territory, Australia"
EDE,Northeastern Regional Airport,"Edenton, North Carolina, United States"
EDF,Elmendorf Air Force Base,"Anchorage, Alaska, United States"
EDI,Edinburgh Airport,"Edinburgh, Scotland, United Kingdom"
EDK,Captain Jack Thomas/El Dorado Airport (FAA: EQA),"El Dorado, Kansas, United States"
EDL,Eldoret International Airport,"Eldoret, Kenya"
EDM,La Roche-sur-Yon Aerodrome,"La Roche-sur-Yon, Pays de la Loire, France"
EDO,Balikesir Koca Seyit Airport,"Edremit, Turkey"
EDQ,Erandique Airport,"Erandique, Honduras"
EDR,Edward River Airport,"Pormpuraaw, Queensland, Australia"
EDW,Edwards Air Force Base,"Edwards, California, United States"
EED,Needles Airport,"Needles, California, United States"
EEK,Eek Airport,"Eek, Alaska, United States"
EEN,Dillant–Hopkins Airport,"Keene, New Hampshire, United States"
EFD,Ellington Field,"Houston, Texas, United States"
EFG,Efogi Airport,"Efogi, Papua New Guinea"
EFK,Newport State Airport,"Newport, Vermont, United States"
EFL,Cephalonia International Airport,"Cephalonia, Greece"
EFW,Jefferson Municipal Airport,"Jefferson, Iowa, United States"
EGA,Engati Airport,"Engati, Papua New Guinea"
EGC,Bergerac Dordogne Périgord Airport,"Bergerac, Aquitaine, France"
EGE,Eagle County Regional Airport,"Eagle / Vail, Colorado, United States"
EGI,Duke Field (Eglin Auxiliary Field 3),"Crestview, Florida, United States"
EGL,Neghelle Airport,"Neghelle, Ethiopia"
EGM,Seghe Airport,"Seghe, Western Province, Solomon Islands"
EGN,Geneina Airport,"Geneina, Sudan"
EGO,Belgorod International Airport,"Belgorod, Belgorod Oblast, Russia"
EGP,Maverick County Memorial International Airport,"Eagle Pass, Texas, United States"
EGS,Egilsstaðir Airport,"Egilsstaðir, Iceland"
EGV,Eagle River Union Airport,"Eagle River, Wisconsin, United States"
EGX,Egegik Airport (FAA: EII),"Egegik, Alaska, United States"
EHL,El Bolsón Airport,"El Bolsón, Río Negro, Argentina"
EHM,Cape Newenham LRRS Airport,"Cape Newenham, Alaska, United States"
EIA,Popondetta Airport,"Eia, Papua New Guinea"
EIB,Eisenach-Kindel Airport,"Eisenach, Thuringia, Germany"
EIE,Yeniseysk Airport,"Yeniseysk, Krasnoyarsk Krai, Russia"
EIH,Einasleigh Airport,"Einasleigh, Queensland, Australia"
EIK,Yeysk Airport,"Yeysk, Krasnodar Krai, Russia"
EIL,Eielson Air Force Base,"Fairbanks, Alaska, United States"
EIN,Eindhoven Airport,"Eindhoven, Netherlands"
EIS,Terrance B. Lettsome International Airport,"Tortola, British Overseas Territory of Virgin Islands"
EIY,Ein Yahav Airfield,"Ein Yahav, Israel"
EJA,Yariguíes Airport,"Barrancabermeja, Colombia"
EJH,Al Wajh Domestic Airport,"Al Wajh, Saudi Arabia"
EJN,Ejin Banner Taolai Airport,"Ejin Banner, Inner Mongolia, China"
EJT,Enejit Airport,"Enejit, Mili Atoll, Marshall Islands"
EKA,Murray Field,"Eureka, California, United States"
EKB,Ekibastuz Airport,"Ekibastuz, Kazakhstan"
EKD,Elkedra Airport,"Elkedra, Northern Territory, Australia"
EKE,Ekereku Airport,"Ekereku, Guyana"
EKI,Elkhart Municipal Airport (FAA: EKM),"Elkhart, Indiana, United States"
EKN,Elkins-Randolph County Airport,"Elkins, West Virginia, United States"
EKO,Elko Regional Airport,"Elko, Nevada, United States"
EKS,Shakhtyorsk Airport,"Shakhtyorsk, Sakhalin Oblast, Russia"
EKT,Eskilstuna Airport,"Eskilstuna, Sweden"
EKX,Elizabethtown Regional Airport (Addington Field),"Elizabethtown, Kentucky, United States"
ELA,Eagle Lake Airport,"Eagle Lake, Texas, United States"
ELB,Las Flores Airport,"El Banco, Colombia"
ELC,Elcho Island Airport,"Elcho Island, Northern Territory, Australia"
ELD,South Arkansas Regional Airport at Goodwin Field,"El Dorado, Arkansas, United States"
ELE,El Real Airport,"El Real, Panama"
ELF,El Fasher Airport,"El Fasher, Sudan"
ELG,El Golea Airport,"El Goléa, Algeria"
ELH,North Eleuthera Airport,"North Eleuthera, Eleuthera Island, Bahamas"
ELI,Elim Airport,"Elim, Alaska, United States"
ELJ,El Recreo Airport,"El Recreo, Colombia"
ELK,Elk City Regional Business Airport,"Elk City, Oklahoma, United States"
ELL,Ellisras Airport,"Ellisras, South Africa"
ELM,Elmira/Corning Regional Airport,"Elmira / Corning, New York, United States"
ELN,Bowers Field,"Ellensburg, Washington, United States"
ELO,Eldorado Airport,"Eldorado, Misiones, Argentina"
ELP,El Paso International Airport,"El Paso, Texas, United States"
ELQ,Prince Nayef bin Abdulaziz Regional Airport,"Buraidah, Saudi Arabia"
ELR,Elelim Airport,"Elelim, Indonesia"
ELS,East London Airport,"East London, South Africa"
ELT,El Tor Airport,"El Tor, Egypt"
ELU,Guemar Airport,"El Oued, Algeria"
ELV,Elfin Cove Seaplane Base,"Elfin Cove, Alaska, United States"
ELW,Ellamar Seaplane Base (FAA: 1Z9),"Ellamar, Alaska, United States"
ELX,El Tigre Airport,"El Tigre, Venezuela"
ELY,Ely Airport,"Ely, Nevada, United States"
ELZ,Wellsville Municipal Airport (Tarantine Field),"Wellsville, New York, United States"
EMA,East Midlands Airport,"Nottingham / Leicester / Derby, England, United Kingdom"
EMD,Emerald Airport,"Emerald, Queensland, Australia"
EME,Emden Airport,"Emden, Lower Saxony, Germany"
EMG,Empangeni Airport,"Empangeni, South Africa"
EMI,Emirau Airport,"Emirau Island, Papua New Guinea"
EMK,Emmonak Airport (FAA: ENM),"Emmonak, Alaska, United States"
EML,Emmen Air Base,"Emmen, Switzerland"
EMM,Kemmerer Municipal Airport,"Kemmerer, Wyoming, United States"
EMN,Néma Airport,"Néma, Mauritania"
EMO,Emo Airport,"Emo, Papua New Guinea"
EMP,Emporia Municipal Airport,"Emporia, Kansas, United States"
EMS,Embessa Airport,"Embessa, Papua New Guinea"
EMT,San Gabriel Valley Airport,"El Monte, California, United States"
EMX,El Maitén Airport,"El Maitén, Chubut, Argentina"
EMY,El Minya Airport,"El Minya, Egypt"
ENA,Kenai Municipal Airport,"Kenai, Alaska, United States"
ENB,Eneabba Airport,"Eneabba, Western Australia, Australia"
ENC,Nancy-Essey Airport,"Nancy, Lorraine, France"
END,Vance Air Force Base,"Enid, Oklahoma, United States"
ENE,H. Hasan Aroeboesman Airport,"Ende, Indonesia"
ENF,Enontekiö Airport,"Enontekiö, Finland"
ENH,Enshi Xujiaping Airport,"Enshi, Hubei, China"
ENI,El Nido Airport,"El Nido, Philippines"
ENJ,El Naranjo Airport,"El Naranjo, Guatemala"
ENK,Enniskillen/St Angelo Airport,"Enniskillen, Northern Ireland, United Kingdom"
ENL,Centralia Municipal Airport,"Centralia, Illinois, United States"
ENN,Nenana Municipal Airport,"Nenana, Alaska, United States"
ENO,Teniente Amin Ayub Gonzalez Airport,"Encarnacion, Paraguay"
ENS,Enschede Airport Twente,"Enschede, Netherlands"
ENT,Enewetak Auxiliary Airfield,"Enewetak, Marshall Islands"
ENU,Akanu Ibiam International Airport,"Enugu, Nigeria"
ENV,Wendover Airport,"Wendover, Utah, United States"
ENW,Kenosha Regional Airport,"Kenosha, Wisconsin, United States"
ENY,Yan'an Nanniwan Airport,"Yan'an, Shaanxi, China"
EOH,Olaya Herrera Airport,"Medellín, Colombia"
EOI,Eday Airport,"Eday, Scotland, United Kingdom"
EOK,Keokuk Municipal Airport,"Keokuk, Iowa, United States"
EOR,El Dorado Airport,"El Dorado, Venezuela"
EOS,Neosho Hugh Robinson Airport,"Neosho, Missouri, United States"
EOZ,Elorza Airport,"Elorza, Venezuela"
EPA,El Palomar Airport,"El Palomar, Buenos Aires, Argentina"
EPG,Browns Airport (FAA: NE69),"Weeping Water, Nebraska, United States"
EPH,Ephrata Municipal Airport,"Ephrata, Washington, United States"
EPL,Épinal – Mirecourt Airport,"Épinal / Mirecourt, Lorraine, France"
EPN,Epéna Airport,"Epéna, Republic of the Congo"
EPR,Esperance Airport,"Esperance, Western Australia, Australia"
EPS,Arroyo Barril Airport,"Samaná, Dominican Republic"
EPT,Eliptamin Airport,"Eliptamin, Papua New Guinea"
EPU,Pärnu Airport,"Pärnu, Estonia"
EQS,Esquel Airport,"Esquel, Chubut, Argentina"
ERA,Erigavo Airport,"Erigavo, Somalia"
ERB,Pukatja Airport (Ernabella Airport),"Pukatja, South Australia, Australia"
ERC,Erzincan Airport,"Erzincan, Turkey"
ERD,Berdiansk Airport,"Berdiansk, Ukraine"
ERE,Erave Airport,"Erave, Papua New Guinea"
ERF,Erfurt–Weimar Airport,"Erfurt, Thuringia, Germany"
ERG,Erbogachen Airport,"Yerbogachen, Irkutsk Oblast, Russia"
ERH,Moulay Ali Cherif Airport,"Errachidia, Morocco"
ERI,Erie International Airport (Tom Ridge Field),"Erie, Pennsylvania, United States"
ERL,Erenhot Saiwusu International Airport,"Erenhot, Inner Mongolia, China"
ERM,Erechim Airport,"Erechim, Rio Grande do Sul, Brazil"
ERN,Eirunepé Airport (Amaury Feitosa Tomaz Airport),"Eirunepé, Amazonas, Brazil"
ERQ,Elrose Airport,"Eloise Copper Mine, Queensland, Australia"
ERR,Errol Airport,"Errol, New Hampshire, United States"
ERS,Eros Airport,"Windhoek, Namibia"
ERT,Erdenet Airport,"Erdenet, Mongolia"
